"title","broad_cir","broad_gmv","broad_roi","click","cost","cpc","cr","ctr","direct_gmv","impression","avg_rank","start_time","created_at","updated_at","fromWIB","toWIB"
"Topi Rambut Palsu - Topi Rambut Palsu Anak - Rambut Palsu Topi Anak [2]",0,0,0,0,0,0,0,0,0,0,0,1726678800,"2025-01-22 18:37:47","2025-01-22 18:37:47",,
"Udeng Rambut Palsu Pria - Udeng Jawa - Udeng Batik - Topi Rambut Palsu [2]",0,0,0,0,0,0,0,0,0,0,0,1726678800,"2025-01-22 18:37:47","2025-01-22 18:37:47",,
"Topi Rambut Palsu - Udeng Rambut Palsu - Udeng Topi Rambut Palsu - Udeng Rambut Palsu Pria [2]",0,0,0,0,0,0,0,0,0,0,0,1726678800,"2025-01-22 18:37:47","2025-01-22 18:37:47",,
"Topi Udeng Rambut Palsu - Totopong Rambut Palsu - Ikat Kepala Batik Tradisional - Udeng Batik [2]",0,0,0,0,0,0,0,0,0,0,0,1726678800,"2025-01-22 18:37:47","2025-01-22 18:37:47",,
"Topi Golf Rambut Palsu - Topi Wig Golf - Topi Golf Bulu Korea - Topi Bulu Sule [2]",0,0,0,0,0,0,0,0,0,0,0,1726678800,"2025-01-22 18:37:47","2025-01-22 18:37:47",,
"Topi Rambut Palestina - Topi Rambut Palsu - Topi Wig Palestina - Topi Bulu [2]",0,0,0,0,0,0,0,0,0,0,0,1726678800,"2025-01-22 18:37:47","2025-01-22 18:37:47",,
"Udeng Rambut Palsu - Topi Rambut Palsu - Udeng Merah Putih - Udeng Rambut Palsu Pria [2]",0,0,0,0,0,0,0,0,0,0,0,1726678800,"2025-01-22 18:37:47","2025-01-22 18:37:47",,
"Topi Rambut Palsu - Topi Rambut Brigez - Topi Rambut XTC - Topi Bulu - Topi Wig [2]",0,0,0,0,0,0,0,0,0,0,0,1726678800,"2025-01-22 18:37:47","2025-01-22 18:37:47",,
"Topi Rambut Suporter Timnas - Topi Rambut Persib - Topi Rambut Persija - Topi Rambut Arema - Topi Rambut Madura United - Topi Rambut Suporter Bola [2]",0,0,0,0,0,0,0,0,0,0,0,1726678800,"2025-01-22 18:37:47","2025-01-22 18:37:47",,
"Topi Rambut Supporter Bola - Supporter Esport - Topi Rambut Palsu Palestina [2]",0,0,0,0,0,0,0,0,0,0,0,1726678800,"2025-01-22 18:37:47","2025-01-22 18:37:47",,
"Topi Rambut E-sport - Topi Rambut Palsu - Topi Wig - Topi Bulu E-sport [2]",0,0,0,0,0,0,0,0,0,0,0,1726678800,"2025-01-22 18:37:47","2025-01-22 18:37:47",,
"Topi Rambut Palsu - Topi Wig - Topi Bulu - Topi Sule - Topi Rambut [2]",0,0,0,0,0,0,0,0,0,0,0,1726678800,"2025-01-22 18:37:47","2025-01-22 18:37:47",,
